demon	d_label	test	start	end	prediction
And many have done just that	just that	This phenomenon often makes stock prices swing wildly at the end of the trading session	17	15	nan
The merger requires the approval of Norwegian authorities	the approval of Norwegian authorities	This of course led to disaster in New York City	22	20	nan
There were no major Eurobond or foreign bond offerings in Europe Friday	no major Eurobond or foreign bond offerings	Craig Forman in London contributed to this article	21	23	foreign bond offerings
That theme has been a recurring one for Soviet military officials for much of this year	a recurring one	The fund invests mainly in gold and silver bullion	12	29	much of this year[SEP] a recurring one[SEP]The fund invests mainly in gold and silver bull
Most British programming is more of an acquired taste	more of an acquired taste	The final maturity is in five years	10	22	more of an acquired taste[SEP]The final maturity is in five years
Waxman sells a variety of hardware products for the home repair market	a variety of hardware products for the home repair market	Paris loved her at first sight	27	19	nan
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	The suit is still pending in Illinois state court	10	23	increased demand for its systems productivity software[SEP] much of the growth in earnings
The exchange was all the more remarkable in that authorities released television footage to Western news agencies	television footage	Stock prices slipped lower in moderate trading	24	22	nan
The woman won the bet	the bet	That announcement left union officials in Van Nuys and Oklahoma City uncertain about their futures	16	24	Nuys and Oklahoma City uncertain about their futures
Businessmen took their cue from the engineers	their cue	The problem is not that the Fed is too unresponsive to the public interest	25	0	nan
He sees a psychoanalyst five mornings a week	a psychoanalyst	Tokyo stocks rebounded Tuesday from two consecutive daily losses in relatively active dealings	28	30	relatively active dealings
Total return is price changes plus interest income	price changes plus interest income	Jeff Rowe contributed to this article	16	13	nan
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	Sometimes repairs are out of the question	28	36	instead of a ministry of provisions[SEP]Sometimes repairs
The heavy buying in the last half hour led the specialists to take special steps	special steps	The centers normally are closed through the weekend	16	24	special steps[SEP]The centers normally are closed through
And it left mixed signals for London	mixed signals	It can happen in any industry	0	16	And it left mixed signals for London[SEP] mixed signals[SEP]It can happen in any industry
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	The election was by secret ballot in the General Assembly	25	0	nan
