demon	d_deleted	test	t_deleted	start
He also leads an opulent life style	an opulent life style	The Organization of Petroleum Exporting Countries increased its production ceiling for the fourth quarter based on projections of robust demand	its production ceiling for the fourth quarter	7
Managers of junk funds were bolstering their cash hoards after the September cash crunch at Campeau Corp	their cash hoards	These are curious times in South African politics	curious times in South African politics	2
Most expect the decline in New York stock prices to continue this week	this week	Friday capped a week of steadily rising crude oil prices in both futures and spot markets	a week of steadily rising crude oil prices in both futures and spot markets	2
Liquidity is not a service	a service	But there was one bright spot yesterday	one bright spot	3
The czars were no civil libertarians	no civil libertarians	Two segments posted lower earnings for the quarter	lower earnings for the quarter	3
New Jersey Bell awaits state clearance	state clearance	United Illuminating also amended its rate plan	its rate plan	4
Accepted theories state that investors require higher returns on riskier investments	higher returns	This is an enviably low level	an enviably low level	2
The tribe is one of the poorest in the Pacific Northwest	one of the poorest in the Pacific Northwest	East Bloc pollution data typically have been state secrets	state secrets	7
Estimated volume was three million ounces	three million ounces	It blames most of these on Fatah	most of these	2
This is an enviably low level	an enviably low level	Repeat customers also can purchase luxury items at reduced prices	luxury items	5
He expected as much	as much	Randy Delchamps retains his position as president	his position as president	3
